"No.","Time","Source","Destination","Protocol","Length","Info"
"2117","2022-12-11 20:38:10.613110348","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2118","2022-12-11 20:38:10.613118638","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42472 Ack=399127 Win=64128 Len=0 TSval=3075500488 TSecr=1630538965"
"2119","2022-12-11 20:38:10.615301955","172.17.0.1","172.17.0.2","HTTP","222","GET /android HTTP/1.1 "
"2120","2022-12-11 20:38:10.622211503","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=399127 Ack=42628 Win=64128 Len=511 TSval=1630538974 TSecr=3075500490 [TCP segment of a reassembled PDU]"
"2121","2022-12-11 20:38:10.668242917","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42628 Ack=399638 Win=64128 Len=0 TSval=3075500543 TSecr=1630538974"
"2122","2022-12-11 20:38:10.668298311","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2123","2022-12-11 20:38:10.670097192","172.17.0.1","172.17.0.2","HTTP","223","GET /announce HTTP/1.1 "
"2124","2022-12-11 20:38:10.679331234","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=400589 Ack=42785 Win=64128 Len=511 TSval=1630539031 TSecr=3075500545 [TCP segment of a reassembled PDU]"
"2125","2022-12-11 20:38:10.680155698","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42785 Ack=401100 Win=64128 Len=0 TSval=3075500555 TSecr=1630539031"
"2126","2022-12-11 20:38:10.680177069","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2127","2022-12-11 20:38:10.681867811","172.17.0.1","172.17.0.2","HTTP","227","GET /announcement HTTP/1.1 "
"2128","2022-12-11 20:38:10.687885342","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=402051 Ack=42946 Win=64128 Len=511 TSval=1630539039 TSecr=3075500556 [TCP segment of a reassembled PDU]"
"2129","2022-12-11 20:38:10.688002368","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42946 Ack=402562 Win=64128 Len=0 TSval=3075500563 TSecr=1630539039"
"2130","2022-12-11 20:38:10.688926820","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=402562 Ack=42946 Win=64128 Len=946 TSval=1630539040 TSecr=3075500563 [TCP segment of a reassembled PDU]"
"2131","2022-12-11 20:38:10.689144619","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42946 Ack=403508 Win=64128 Len=0 TSval=3075500564 TSecr=1630539040"
"2132","2022-12-11 20:38:10.689160427","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2133","2022-12-11 20:38:10.689249110","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=42946 Ack=403513 Win=64128 Len=0 TSval=3075500564 TSecr=1630539041"
"2134","2022-12-11 20:38:10.690162108","172.17.0.1","172.17.0.2","HTTP","228","GET /announcements HTTP/1.1 "
"2135","2022-12-11 20:38:10.699592247","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=403513 Ack=43108 Win=64128 Len=511 TSval=1630539051 TSecr=3075500565 [TCP segment of a reassembled PDU]"
"2136","2022-12-11 20:38:10.740319428","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43108 Ack=404024 Win=64128 Len=0 TSval=3075500615 TSecr=1630539051"
"2137","2022-12-11 20:38:10.740356778","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2138","2022-12-11 20:38:10.743997534","172.17.0.1","172.17.0.2","HTTP","223","GET /annuaire HTTP/1.1 "
"2139","2022-12-11 20:38:10.754725568","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=404975 Ack=43265 Win=64128 Len=511 TSval=1630539106 TSecr=3075500619 [TCP segment of a reassembled PDU]"
"2140","2022-12-11 20:38:10.754984391","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43265 Ack=405486 Win=64128 Len=0 TSval=3075500629 TSecr=1630539106"
"2141","2022-12-11 20:38:10.755003607","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2142","2022-12-11 20:38:10.756472093","172.17.0.1","172.17.0.2","HTTP","221","GET /annual HTTP/1.1 "
"2143","2022-12-11 20:38:10.762788022","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=406437 Ack=43420 Win=64128 Len=511 TSval=1630539114 TSecr=3075500631 [TCP segment of a reassembled PDU]"
"2144","2022-12-11 20:38:10.763083493","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43420 Ack=406948 Win=64128 Len=0 TSval=3075500638 TSecr=1630539114"
"2145","2022-12-11 20:38:10.763820930","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=406948 Ack=43420 Win=64128 Len=946 TSval=1630539115 TSecr=3075500638 [TCP segment of a reassembled PDU]"
"2146","2022-12-11 20:38:10.763890035","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43420 Ack=407894 Win=64128 Len=0 TSval=3075500638 TSecr=1630539115"
"2147","2022-12-11 20:38:10.763903318","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2148","2022-12-11 20:38:10.763985145","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43420 Ack=407899 Win=64128 Len=0 TSval=3075500639 TSecr=1630539115"
"2149","2022-12-11 20:38:10.764932305","172.17.0.1","172.17.0.2","HTTP","219","GET /anon HTTP/1.1 "
"2150","2022-12-11 20:38:10.770991306","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=407899 Ack=43573 Win=64128 Len=511 TSval=1630539122 TSecr=3075500639 [TCP segment of a reassembled PDU]"
"2151","2022-12-11 20:38:10.812484622","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43573 Ack=408410 Win=64128 Len=0 TSval=3075500687 TSecr=1630539122"
"2152","2022-12-11 20:38:10.812544717","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2153","2022-12-11 20:38:10.814714161","172.17.0.1","172.17.0.2","HTTP","223","GET /anon_ftp HTTP/1.1 "
"2154","2022-12-11 20:38:10.820447216","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=409361 Ack=43730 Win=64128 Len=511 TSval=1630539172 TSecr=3075500689 [TCP segment of a reassembled PDU]"
"2155","2022-12-11 20:38:10.820534165","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43730 Ack=409872 Win=64128 Len=0 TSval=3075500695 TSecr=1630539172"
"2156","2022-12-11 20:38:10.821126442","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=409872 Ack=43730 Win=64128 Len=946 TSval=1630539173 TSecr=3075500695 [TCP segment of a reassembled PDU]"
"2157","2022-12-11 20:38:10.821317983","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43730 Ack=410818 Win=64128 Len=0 TSval=3075500696 TSecr=1630539173"
"2158","2022-12-11 20:38:10.821332398","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2159","2022-12-11 20:38:10.821415969","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43730 Ack=410823 Win=64128 Len=0 TSval=3075500696 TSecr=1630539173"
"2160","2022-12-11 20:38:10.822293472","172.17.0.1","172.17.0.2","HTTP","224","GET /anonymous HTTP/1.1 "
"2161","2022-12-11 20:38:10.828205538","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=410823 Ack=43888 Win=64128 Len=511 TSval=1630539180 TSecr=3075500697 [TCP segment of a reassembled PDU]"
"2162","2022-12-11 20:38:10.828349916","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43888 Ack=411334 Win=64128 Len=0 TSval=3075500703 TSecr=1630539180"
"2163","2022-12-11 20:38:10.828930494","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=411334 Ack=43888 Win=64128 Len=946 TSval=1630539180 TSecr=3075500703 [TCP segment of a reassembled PDU]"
"2164","2022-12-11 20:38:10.829066281","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43888 Ack=412280 Win=64128 Len=0 TSval=3075500704 TSecr=1630539180"
"2165","2022-12-11 20:38:10.829075062","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2166","2022-12-11 20:38:10.829134054","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=43888 Ack=412285 Win=64128 Len=0 TSval=3075500704 TSecr=1630539181"
"2167","2022-12-11 20:38:10.830087596","172.17.0.1","172.17.0.2","HTTP","219","GET /ansi HTTP/1.1 "
"2168","2022-12-11 20:38:10.839156759","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=412285 Ack=44041 Win=64128 Len=511 TSval=1630539191 TSecr=3075500705 [TCP segment of a reassembled PDU]"
"2169","2022-12-11 20:38:10.880254703","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44041 Ack=412796 Win=64128 Len=0 TSval=3075500755 TSecr=1630539191"
"2170","2022-12-11 20:38:10.880313424","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2171","2022-12-11 20:38:10.881984690","172.17.0.1","172.17.0.2","HTTP","221","GET /answer HTTP/1.1 "
"2172","2022-12-11 20:38:10.889010367","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=413747 Ack=44196 Win=64128 Len=511 TSval=1630539241 TSecr=3075500756 [TCP segment of a reassembled PDU]"
"2173","2022-12-11 20:38:10.889388788","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44196 Ack=414258 Win=64128 Len=0 TSval=3075500764 TSecr=1630539241"
"2174","2022-12-11 20:38:10.889406210","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=414258 Ack=44196 Win=64128 Len=946 TSval=1630539241 TSecr=3075500764 [TCP segment of a reassembled PDU]"
"2175","2022-12-11 20:38:10.889510150","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44196 Ack=415204 Win=64128 Len=0 TSval=3075500764 TSecr=1630539241"
"2176","2022-12-11 20:38:10.890332009","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2177","2022-12-11 20:38:10.890638897","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44196 Ack=415209 Win=64128 Len=0 TSval=3075500765 TSecr=1630539242"
"2178","2022-12-11 20:38:10.891687634","172.17.0.1","172.17.0.2","HTTP","222","GET /answers HTTP/1.1 "
"2179","2022-12-11 20:38:10.900665278","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=415209 Ack=44352 Win=64128 Len=511 TSval=1630539252 TSecr=3075500766 [TCP segment of a reassembled PDU]"
"2180","2022-12-11 20:38:10.900939692","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44352 Ack=415720 Win=64128 Len=0 TSval=3075500775 TSecr=1630539252"
"2181","2022-12-11 20:38:10.900961124","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2182","2022-12-11 20:38:10.903313900","172.17.0.1","172.17.0.2","HTTP","228","GET /antibot_image HTTP/1.1 "
"2183","2022-12-11 20:38:10.914811637","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=416671 Ack=44514 Win=64128 Len=511 TSval=1630539266 TSecr=3075500778 [TCP segment of a reassembled PDU]"
"2184","2022-12-11 20:38:10.956220366","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44514 Ack=417182 Win=64128 Len=0 TSval=3075500831 TSecr=1630539266"
"2185","2022-12-11 20:38:10.956264552","172.17.0.2","172.17.0.1","HTTP","1017","HTTP/1.1 200 OK  (text/html)"
"2186","2022-12-11 20:38:10.957873580","172.17.0.1","172.17.0.2","HTTP","223","GET /antispam HTTP/1.1 "
"2187","2022-12-11 20:38:10.964221597","172.17.0.2","172.17.0.1","TCP","577","3000  >  58010 [PSH, ACK] Seq=418133 Ack=44671 Win=64128 Len=511 TSval=1630539316 TSecr=3075500832 [TCP segment of a reassembled PDU]"
"2188","2022-12-11 20:38:10.964500658","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44671 Ack=418644 Win=64128 Len=0 TSval=3075500839 TSecr=1630539316"
"2189","2022-12-11 20:38:10.965601269","172.17.0.2","172.17.0.1","TCP","1012","3000  >  58010 [PSH, ACK] Seq=418644 Ack=44671 Win=64128 Len=946 TSval=1630539317 TSecr=3075500839 [TCP segment of a reassembled PDU]"
"2190","2022-12-11 20:38:10.965811746","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44671 Ack=419590 Win=64128 Len=0 TSval=3075500840 TSecr=1630539317"
"2191","2022-12-11 20:38:10.965833538","172.17.0.2","172.17.0.1","HTTP","71","HTTP/1.1 200 OK  (text/html)"
"2192","2022-12-11 20:38:10.965920037","172.17.0.1","172.17.0.2","TCP","66","58010  >  3000 [ACK] Seq=44671 Ack=419595 Win=64128 Len=0 TSval=3075500840 TSecr=1630539317"
